platform,course name,instructor,subject,image,description,link,rating
udemy,Full Ethical Hacking & Penetration Testing Course | Ethical,Oak Academy,ethical hacking,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTfY7OJqOsHeN-8u_G0qiE9ezj2CfMbMLAtfYrPfD7xQqiVdqtw,"This course starts at beginner levels so you don’t need to have previous knowledge of Ethical Hacking. In this course, we will also cover the topic of Wi-Fi Hacking because Wi-Fi hacking is easier than hacking a device connected to that WiFi. There are many free tools that can hack the less secure Wi-Fi router. Apart from this, there are also advanced tools that work on backtrack and can even hack Wi-Fi router with high security.",https://www.udemy.com/course/full-ethical-hacking-penetration-testing-course/,4.7
coursera,Introduction to Cybersecurity Tools & Cyber Attacks,IBM Security Learning Services,ethical hacking,https://tse3.mm.bing.net/th?id=OIP.raIzXgT27AnyJYw-Rskc6AHaEK&pid=Api&P=0,"This course gives you the background needed to understand basic Cybersecurity. You will learn the history of Cybersecurity, types and motives of cyber attacks to further your knowledge of current threats to organizations and individuals.",https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,4.6
coursera,"Penetration Testing, Incident Response and Forensics",IBM Security Learning Services,ethical hacking,https://tse3.mm.bing.net/th?id=OIP.raIzXgT27AnyJYw-Rskc6AHaEK&pid=Api&P=0,"You will learn about the different phases of penetration testing, how to gather data for your penetration test and popular penetration testing tools. Furthermore, you will learn the phases of an incident response, important documentation to collect, and the components of an incident response policy and team.",https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,4.6
udemy,Learn Ethical Hacking From Scratch,Zaid Sabih,ethical hacking,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTfY7OJqOsHeN-8u_G0qiE9ezj2CfMbMLAtfYrPfD7xQqiVdqtw,"This course is highly practical but it won't neglect the theory; we'll start with ethical hacking basics, breakdown the different penetration testing fields and install the needed software (on Windows, Linux and Mac OS X), then we'll dive and start hacking straight away. You'll learn everything by example, by analysing and exploiting different systems such as networks, servers, clients, websites .....etc. We'll never have any boring dry theoretical lectures.",https://www.udemy.com/course/learn-ethical-hacking-from-scratch/,4.6
udemy,Complete Ethical Hacking Bootcamp 2023: Zero to Mastery,"Andrei Neagoie, Aleksa Tamburkovski ",ethical hacking,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTfY7OJqOsHeN-8u_G0qiE9ezj2CfMbMLAtfYrPfD7xQqiVdqtw,"This course is focused on learning by doing. We are going to teach you how hacking works by actually practicing the techniques and methods used by hackers today. We will start off by creating our hacking lab to make sure we keep your computers safe throughout the course, as well as doing things legally, and once we have our computers set up for ethical hacking.",https://www.udemy.com/course/complete-ethical-hacking-bootcamp-zero-to-mastery/,4.6
great learning,Introduction to Ethical Hacking,great learning academy,ethical hacking,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzLOiRWgyLtBtygX_Slz7Bk2bGH7Qn4XnWLKft60VoGC0-HIF4ecbtK_uGBNGuHjwIO3I&usqp=CAU,"This free introduction to ethical hacking course for beginners will teach you the fundamentals of ethical hacking. The course aims to make you aware of ethical hacking threats, the process, and a range of domains where it is used.",https://www.mygreatlearning.com/academy/learn-for-free/courses/introduction-to-ethical-hacking,4.5
simplilearn ,Introduction to Ethical Hacking,Simplilearn Instructors,ethical hacking,https://tse1.mm.bing.net/th?id=OIP.HxsBZTa1pt5wyVwJNAQ9WQHaEn&pid=Api&P=0,"This course Introduction to Ethical Hacking will cover the basics of Ethical Hacking which includes What is Hacking ? Types of Hackers, Who is an Ethical Hacker /, Benefits of Ethical Hacking and Popular Ethical Hacking Tools etc. By the end of this Course you will have a clear understanding on why choose Ethical Hacking as a career in Cyber Security",https://www.simplilearn.com/ethical-hacking-101-free-program-skillup,4.5
simplilearn ,Basics of Ethical Hacking,Simplilearn Instructors,ethical hacking,https://tse1.mm.bing.net/th?id=OIP.HxsBZTa1pt5wyVwJNAQ9WQHaEn&pid=Api&P=1,"This free Ethical Hacking online course for beginners is the course you need to take up if you are Cyber Security enthusiast and looking to learn Ethical hacking from scratch. In this Ethical Hacking for Beginners course, you will learn how to use different tools to hack and Cryptography at the end of the course.",https://www.simplilearn.com/ethical-hacking-course-free-beginners-skillup,4.5
udemy,Learn Ethical Hacking: Beginner to Advanced,Joseph Delgadillo,ethical hacking,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTfY7OJqOsHeN-8u_G0qiE9ezj2CfMbMLAtfYrPfD7xQqiVdqtw,"If you would like to master ethical hacking and get a job in the field of cyber security, you are going to LOVE this course! Learn ethical hacking, penetration testing, Kali Linux and Python hacking with over 28 hours of HD video tutorials! This course was designed to be extremely beginner friendly. We will begin by covering how to setup a secure and anonymous pentesting environment, cover essential hacking tools in Kali Linux, and finish up with writing our own tools in Python. This course even includes a complete Python crash course, so no previous programming experience is necessary!",https://www.udemy.com/course/ethical-hacking-kali-linux/,4.4
great learning,Ethical Hacking - Mobile Platforms and Network Architecture,great learning academy,ethical hacking,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzLOiRWgyLtBtygX_Slz7Bk2bGH7Qn4XnWLKft60VoGC0-HIF4ecbtK_uGBNGuHjwIO3I&usqp=CAU,Learn mobile hacking from basics in this free online training. Mobile hacking course is taught hands-on by experts. Learn all about ethical hacking on mobile platforms in depth. Best for beginners. Start now!,https://www.mygreatlearning.com/academy/learn-for-free/courses/ethical-hacking-mobile-platforms-and-network-architecture,4.4
great learning,Introduction to Ethical Hacking in Hindi,Mr. Ramendra Tripathi,ethical hacking,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzLOiRWgyLtBtygX_Slz7Bk2bGH7Qn4XnWLKft60VoGC0-HIF4ecbtK_uGBNGuHjwIO3I&usqp=CAU,Get started with ethical hacking in Hindi with our comprehensive Introduction to Ethical Hacking in Hindi course. Learn essential concepts and techniques of ethical hacking to secure your organization from cyber threats.,https://www.mygreatlearning.com/academy/learn-for-free/courses/introduction-to-ethical-hacking-in-hindi,4.3
great learning,Backtracking Algorithm,great learning academy,ethical hacking,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzLOiRWgyLtBtygX_Slz7Bk2bGH7Qn4XnWLKft60VoGC0-HIF4ecbtK_uGBNGuHjwIO3I&usqp=CAU,"Understand what the backtracking algorithm is, how backtracking occurs, and the essential criteria for backtracking. You will also solve one of the classic backtracking problems - Rat in a Maze.",https://www.mygreatlearning.com/academy/learn-for-free/courses/backtracking-algorithm1,4.3
great learning,Become an Ethical Hacker,great learning academy,ethical hacking,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzLOiRWgyLtBtygX_Slz7Bk2bGH7Qn4XnWLKft60VoGC0-HIF4ecbtK_uGBNGuHjwIO3I&usqp=CAU,"In this course, you will get an insight into Ethical Hacking and its functions, and you will also learn about the foundations, processes within Ethical Hacking, and the standard attacks and outcomes that can occur.",https://www.mygreatlearning.com/academy/learn-for-free/courses/become-an-ethical-hacker,4.2
coursera,Introduction to Front-End Development,Meta Staff,front end web development,https://tse2.mm.bing.net/th?id=OIP.Y5dMBLdIdjJza3k8diGILAHaDs&pid=Api&P=0,This course is a good place to start if you want to become a web developer. You will learn about the day-to-day responsibilities of a web developer and get a general understanding of the core and underlying technologies that power the internet. ,https://www.coursera.org/learn/introduction-to-front-end-development,4.8
coursera,Web Design for Everybody: Basics of Web Development & Coding Specialization,Colleen Van Lent,front end web development,https://tse2.mm.bing.net/th?id=OIP.Y5dMBLdIdjJza3k8diGILAHaDs&pid=Api&P=0,"Learn to Design and Create Websites. Build a responsive and accessible web portfolio using HTML5, CSS3, and JavaScript",https://www.coursera.org/specializations/web-design,4.8
udemy,Front End Web Development Bootcamp - Build a Twitter Clone,"George Lomidze, Lasha Nozadze",front end web development,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPgi6wLG33ujjpjSskwslAwlPM3i6K6rPZkw&usqp=CAU,"If you want to learn how the most popular and widely-used websites are created, then this is the right course for you.",https://www.udemy.com/course/front-end-web-development-bootcamp-build-a-twitter-clone/,4.7
coursera,Meta Front-End Developer Professional Certificate,Meta Staff,front end web development,https://tse2.mm.bing.net/th?id=OIP.Y5dMBLdIdjJza3k8diGILAHaDs&pid=Api&P=0,"Want to get started in the world of coding and build websites as a career? This certificate, designed by the software engineering experts at Meta—the creators of Facebook and Instagram, will prepare you for a career as a front-end developer.",https://www.coursera.org/professional-certificates/meta-front-end-developer#about,4.7
coursera,"HTML, CSS, and Javascript for Web Developers",Yaakov Chaikin,front end web development,https://tse2.mm.bing.net/th?id=OIP.Y5dMBLdIdjJza3k8diGILAHaDs&pid=Api&P=0,"In this course, we will learn the basic tools that every web page coder needs to know. We will start from the ground up by learning how to implement modern web pages with HTML and CSS. ",https://www.coursera.org/learn/html-css-javascript-for-web-developers,4.7
simplilearn ,Introduction to Front End Development,Simplilearn Instructors,front end web development,https://tse1.mm.bing.net/th?id=OIP.wynw5P1EQsq_fRZQCltYFgFNC7&pid=Api&P=0,The Front End Development course offers a comprehensive understanding to aspiring front end developers on what goes into designing the style and user interfaces of websites. This introductory free course will help you learn front end development from scratch as well as the major tools and technologies in it.,https://www.simplilearn.com/front-end-developer-free-course-skillup?tag=development,4.5
simplilearn ,Introduction to CSS,Simplilearn Instructors,front end web development,https://tse1.mm.bing.net/th?id=OIP.wynw5P1EQsq_fRZQCltYFgFNC7&pid=Api&P=1,"The Introduction to CSS course will give you a comprehensive understanding of the style-sheet language. Learn CSS fundamentals like basics and selectors as well as advanced concepts such as animations and transitions and media queries. By the end of this free course, you will be thorough with all the significant concepts and properties required to style your web pages efficiently.",https://www.simplilearn.com/learn-css-basics-free-training-course-skillup?tag=CSS,4.5
simplilearn ,Introduction to HTML,Simplilearn Instructors,front end web development,https://tse1.mm.bing.net/th?id=OIP.wynw5P1EQsq_fRZQCltYFgFNC7&pid=Api&P=2,"This Introduction to HTML course is a beginner-level, free program designed for anyone interested in learning the basics of HTML. This free HTML course provides a comprehensive overview of HTML, which remains one of the essential technologies for web development since the creation of the world wide web.",https://www.simplilearn.com/free-html-course-for-beginners-skillup?tag=HTML,4.5
simplilearn ,ReactJS for Beginners,Simplilearn Instructors,front end web development,https://tse1.mm.bing.net/th?id=OIP.wynw5P1EQsq_fRZQCltYFgFNC7&pid=Api&P=3,"This free ReactJS Basics course will help you learn the fundamentals of ReactJS. This course will take you through Redux, reducers, actions, JSX, props, state, events, and the state tree. This course will enable you to build user-friendly ReactJS applications using React router, data flow and usage with React, Bootstrap and CSS, and React middleware.",https://www.simplilearn.com/learn-react-js-basics-free-course-skillup?tag=CSS,4.5
coursera,IBM Full Stack Software Developer Professional Certificate,Rav Ahuja,front end web development,https://tse2.mm.bing.net/th?id=OIP.Y5dMBLdIdjJza3k8diGILAHaDs&pid=Api&P=0,"This Professional Certificate will equip you with key skills and technical know-how to kickstart your career as a Full-Stack Cloud Native Application Developer. Guided by IBM, you will learn to build your own cloud-based applications and work with the technologies behind them. ",https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,4.5
great learning,Front End Development - HTML,Mr. Faizan Parvez,front end web development,https://media.licdn.com/dms/image/C4D12AQGQ4PsTNVqGWQ/article-cover_image-shrink_600_2000/0/1650483065833?e=2147483647&v=beta&t=ZUGChxFZDPkBd_laf8D-6SfNR8WRh4EmKxvkst78H1M,HTML is a markup language foundation for all your web pages. Learn front-end development for free through this course to gain fundamental knowledge of HTML and kick-start your Front End Development career.,https://www.mygreatlearning.com/academy/learn-for-free/courses/front-end-development-html,4.5
great learning,Front End Development - CSS,Mr. Faizan Parvez,front end web development,https://media.licdn.com/dms/image/C4D12AQGQ4PsTNVqGWQ/article-cover_image-shrink_600_2000/0/1650483065833?e=2147483647&v=beta&t=ZUGChxFZDPkBd_laf8D-6SfNR8WRh4EmKxvkst78H1M,Initiate your learning journey and boost your career in Software Development. This free CSS Front End Development course aims at familiarizing you with the essentials to help you begin developing the front end of an application.,https://www.mygreatlearning.com/academy/learn-for-free/courses/front-end-development-css,4.5
great learning,HTML Tutorial,great learning academy,front end web development,https://media.licdn.com/dms/image/C4D12AQGQ4PsTNVqGWQ/article-cover_image-shrink_600_2000/0/1650483065833?e=2147483647&v=beta&t=ZUGChxFZDPkBd_laf8D-6SfNR8WRh4EmKxvkst78H1M,"In this HTML Tutorial, you will understand the Hypertext Markup Language (HTML) in depth. You will start the course by understanding some table tags and creating tables on a web page. ",https://www.mygreatlearning.com/academy/learn-for-free/courses/html-tutorial,4.5
great learning,CSS Tutorial,great learning academy,front end web development,https://media.licdn.com/dms/image/C4D12AQGQ4PsTNVqGWQ/article-cover_image-shrink_600_2000/0/1650483065833?e=2147483647&v=beta&t=ZUGChxFZDPkBd_laf8D-6SfNR8WRh4EmKxvkst78H1M,"CSS Tutorial gives you an introduction to CSS, CSS Box Model and CSS Projects",https://www.mygreatlearning.com/academy/learn-for-free/courses/css-tutorial,4.5
udemy,The Complete Front-End Web Development Course,"Joseph Delgadillo, Nick Germaine ",front end web development,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPgi6wLG33ujjpjSskwslAwlPM3i6K6rPZkw&usqp=CAU,"If you would like to learn web development and get a job in the tech industry, you are going to LOVE this course! Learn HTML, CSS, JavaScript, Bootstrap and more with over 15 hours of HD video tutorials! This course was designed to be extremely beginner friendly. We will begin with the very basics of HTML and build a simple web page. By the end of this course, you will be able to develop and publish your very own Google Chrome extension! In this course we will focus on coding exercises and projects. Your time will not be wasted reviewing unnecessarily long PowerPoint presentations. Upon completing this course, you will have a solid portfolio of development projects to show potential employers!",https://www.udemy.com/course/front-end-web-development/,4.4
udemy,Front End Web Development with Javascript HTML CSS Bootstrap,Oak Academy,front end web development,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPgi6wLG33ujjpjSskwslAwlPM3i6K6rPZkw&usqp=CAU,"This course will be your gateway to learning web design with blank HTML, CSS, and JavaScript files with a step-by-step approach. We can assure you that only this course will be enough for you to learn Web Development from scratch to intermediate. Front-end web development, front end, front end development, frontend web development, frontend, front-end, full front-end web development, web development, front-end development, HTML, front-end web development, HTML full course",https://www.udemy.com/course/full-front-end-web-development-course/,4.4
udemy,The Complete front end web developer Bootcamp - 14 projects,Igneus Technologies,front end web development,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPgi6wLG33ujjpjSskwslAwlPM3i6K6rPZkw&usqp=CAU,"This course gives you a unique experience and focus only on front end web development. First we will get professional and free web development tools, then we will start with HTML. Once we cover this ground, we will take down our very first challenge. Further we will learn HTML 5 and start our first project.",https://www.udemy.com/course/complete-front-end-web-developer-bootcamp/,4.4
great learning,CSS Properties,great learning academy,front end web development,https://media.licdn.com/dms/image/C4D12AQGQ4PsTNVqGWQ/article-cover_image-shrink_600_2000/0/1650483065833?e=2147483647&v=beta&t=ZUGChxFZDPkBd_laf8D-6SfNR8WRh4EmKxvkst78H1M,"Learn css properties from basics in this free online training. Css properties course is taught hands-on by experts. Learn css color, css background and css text in details with example. Best for beginners. Start now!",https://www.mygreatlearning.com/academy/learn-for-free/courses/css-properties,4.4
